open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1636156800000,0.15811000,0.16400000,0.14917000,0.16057000,1252365731.20000000,1636243199999,197248239.19283700,614545,613969343.00000000,96768798.66194200,0
1636243200000,0.16056000,0.16209000,0.15414000,0.15506000,665628121.80000000,1636329599999,104893340.24981300,312327,323260831.10000000,50956658.05789000,0
1636329600000,0.15502000,0.17606000,0.15117000,0.17603000,1678982932.10000000,1636415999999,277725327.90473200,942520,866965703.90000000,143611294.63703400,0
1636416000000,0.17605000,0.18755000,0.17011000,0.17095000,2082374885.50000000,1636502399999,372111474.97465600,1114172,1028704995.90000000,183871703.57642400,0
1636502400000,0.17094000,0.18276000,0.14817000,0.16257000,1852610223.90000000,1636588799999,312075530.07898800,814484,901495853.60000000,152049365.43861900,0
1636588800000,0.16254000,0.16942000,0.15843000,0.16513000,906307830.90000000,1636675199999,149161371.70030400,399427,446984660.60000000,73594366.61322000,0
1636675200000,0.16515000,0.16564000,0.15118000,0.15866000,890280029.60000000,1636761599999,141049413.56234500,384165,436662144.90000000,69201104.05530300,0
1636761600000,0.15866000,0.16500000,0.15488000,0.16039000,662202272.80000000,1636847999999,105566131.44115500,272156,328463948.10000000,52367582.15461000,0
1636848000000,0.16038000,0.16345000,0.15366000,0.16169000,575148381.80000000,1636934399999,91365210.69677700,249919,283809271.30000000,45089465.07548500,0
1636934400000,0.16175000,0.17749000,0.16160000,0.16292000,1402778438.80000000,1637020799999,236582040.12252500,724487,700529172.20000000,118166875.18017500,0
1637020800000,0.16292000,0.16296000,0.13500000,0.14428000,2099202292.10000000,1637107199999,314513871.12271800,701731,1019760365.20000000,152914696.92610800,0
1637107200000,0.14419000,0.14793000,0.13660000,0.14514000,1433775017.50000000,1637193599999,204529292.05030500,439649,722681110.90000000,103152576.75785800,0
1637193600000,0.14509000,0.14711000,0.12300000,0.12889000,1696526974.40000000,1637279999999,227030828.48785100,500604,825518472.40000000,110497683.50594800,0
1637280000000,0.12876000,0.14175000,0.12537000,0.13927000,1120012247.20000000,1637366399999,150580325.13312600,325299,563590561.80000000,75778770.52026900,0
1637366400000,0.13933000,0.14169000,0.13252000,0.13952000,839556940.90000000,1637452799999,115666040.04722200,268590,412408150.50000000,56812991.11122400,0
1637452800000,0.13953000,0.13974000,0.13155000,0.13252000,738806359.30000000,1637539199999,100320142.03012300,243463,366823353.90000000,49817987.46609300,0
1637539200000,0.13253000,0.13315000,0.12450000,0.12656000,1007693578.90000000,1637625599999,129945899.31221500,316725,504100810.00000000,65019427.99061500,0
1637625600000,0.12656000,0.13222000,0.12413000,0.13097000,943138988.40000000,1637711999999,120865894.53157200,287170,474474588.30000000,60808318.98525500,0
1637712000000,0.13094000,0.13207000,0.11959000,0.12210000,953192637.50000000,1637798399999,117928853.70072700,302815,463736524.10000000,57365125.57717200,0
1637798400000,0.12210000,0.13329000,0.12104000,0.12782000,1044368983.50000000,1637884799999,132686461.95569600,359361,525463099.00000000,66771139.01676200,0
1637884800000,0.12780000,0.12844000,0.11050000,0.11336000,1535563161.90000000,1637971199999,178628821.26386500,461340,758436223.20000000,88261833.49423300,0
1637971200000,0.11344000,0.11853000,0.11270000,0.11412000,601112833.20000000,1638057599999,69780711.98827400,172121,290805386.60000000,33761057.78372400,0
1638057600000,0.11413000,0.11656000,0.10400000,0.11639000,1033886239.90000000,1638143999999,114090371.67200500,286771,517572152.20000000,57133441.20338000,0
1638144000000,0.11633000,0.12227000,0.11408000,0.12130000,855067064.60000000,1638230399999,100923646.84419600,266732,418644293.80000000,49421811.75637100,0
1638230400000,0.12128000,0.12550000,0.11551000,0.11917000,1041448006.90000000,1638316799999,125482093.41145200,391668,515132419.70000000,62097569.03153700,0
1638316800000,0.11921000,0.12545000,0.11683000,0.11820000,797751138.80000000,1638403199999,96611771.55916500,283384,388550364.70000000,47051216.85183900,0
1638403200000,0.11821000,0.11917000,0.11369000,0.11582000,604764925.20000000,1638489599999,70494213.99217600,217118,297560516.90000000,34699518.08516800,0
1638489600000,0.11580000,0.11946000,0.10430000,0.10858000,1007626412.00000000,1638575999999,113548019.04062100,360690,496401342.90000000,55985465.05467200,0
